"page_title","text","url","page_url"
"Stidalschool » Informatie » Schoolgids",NA,"http://www.stidalschool.nl/syndeo_data/media/schoolgids_2017-2018.pdf","http://www.stidalschool.nl/index.php?section=20&page=254"
"Stidalschool » Informatie » Schoolgids","Directe link naar pdf-bestand","http://www.stidalschool.nl/syndeo_data/media/schoolgids_2017-2018.pdf","http://www.stidalschool.nl/index.php?section=20&page=254"
