"page_title","text","url","page_url"
"Schoolgids | School met de Bijbel Oene","Schoolgids 2017-2018","http://www.cbsoene.nl/cbs/wp-content/uploads/2013/07/Schoolgids-2017-2018.pdf","http://www.cbsoene.nl/cbs/over-ons/schoolgids/"
"Schoolgids | School met de Bijbel Oene","choolgids-2016-2017","http://www.cbsoene.nl/cbs/wp-content/uploads/2013/07/Schoolgids-2016-2017.pdf","http://www.cbsoene.nl/cbs/over-ons/schoolgids/"
"Schoolgids | School met de Bijbel Oene","Schoolgids 2015-2016 webversie","http://www.cbsoene.nl/cbs/wp-content/uploads/2013/07/Schoolgids-2015-2016-webversie.pdf","http://www.cbsoene.nl/cbs/over-ons/schoolgids/"
