"page_title","text","url","page_url"
"Schoolgids","","http://www.tamarinde.nl/algemeen/PublishingImages/Paginas/Schoolgids/Tamarinde%20SG%202015-2016%20opmaak%20A5_def.pdf","http://www.tamarinde.nl/algemeen/Paginas/Schoolgids.aspx"
"Schoolgids","CBS Tamarinde Schoolgids 2017-2018.pdf","http://www.tamarinde.nl/algemeen/PublishingImages/Paginas/Schoolgids/Tamarinde%20SG%202017-2018%20opmaak%20A5_def_web.pdf","http://www.tamarinde.nl/algemeen/Paginas/Schoolgids.aspx"
"Schoolgids","Agora-gids 2017-2018.pdf","http://www.tamarinde.nl/algemeen/PublishingImages/Paginas/Schoolgids/74002017%20Agora-gids%202017-2018%20webversie.pdf","http://www.tamarinde.nl/algemeen/Paginas/Schoolgids.aspx"
