"page_title","text","url","page_url"
"Schoolgids Algemeen en Specifiek","Download Schoolgids Specifiek 2017-2018","https://www.micassen.nl/upload/197-Schoolgids_2017-2018_-_Schoolspecifiek_3e_versie_MIC.pdf","https://www.micassen.nl/onze-school/schooldocumenten/schoolgids"
"Schoolgids Algemeen en Specifiek","Download schoolgids algemeen deel 2017-2018 MIC","https://www.micassen.nl/upload/197-1Schoolgids_algemeen_deel_2017-2018_Maria_in_Campisschool.pdf","https://www.micassen.nl/onze-school/schooldocumenten/schoolgids"
