"page_title","text","url","page_url"
"Antoniusschool Ridderspoorstraat » Onze school » Schoolgids"," ","https://www.antoniusschoolridderspoorstraat.nl/syndeo_data/media/schoolgids/schoolgids_2017-2018__1_.pdf","https://www.antoniusschoolridderspoorstraat.nl/index.php?section=24&page=200"
"Antoniusschool Ridderspoorstraat » Onze school » Schoolgids","hier","https://www.antoniusschoolridderspoorstraat.nl/syndeo_data/media/schoolgids/schoolgids_2017-2018__1_.pdf","https://www.antoniusschoolridderspoorstraat.nl/index.php?section=24&page=200"
"Antoniusschool Ridderspoorstraat » Onze school » Schoolgids"," ","https://www.antoniusschoolridderspoorstraat.nl/syndeo_data/media/schoolgids/schoolgids_2017-2018__1_.pdf","https://www.antoniusschoolridderspoorstraat.nl/index.php?section=24&page=200"
