"page_title","text","url","page_url"
"Schoolgids","","http://www.vosseburcht.nl/Portals/131/docs/Wendy/Schoolgids%202014-2015.pdf","http://www.vosseburcht.nl/School/Schoolgids"
"Schoolgids","","http://www.vosseburcht.nl/Portals/131/docs/Schoolgids_DeVosseburcht_2011.pdf","http://www.vosseburcht.nl/School/Schoolgids"
