"page_title","text","url","page_url"
"Informatieboekjes - Kbs Jacinta","Groep 1-2","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/Infogids-groep-1-2-2016-2017.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 3","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/infogids-groep-3-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 4","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/Infogids-groep-4-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 5","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/Infogids-groep-5-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 6","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/infogids-groep-6-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 7","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/Infogids-groep-7-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
"Informatieboekjes - Kbs Jacinta","Groep 8","http://www.jacintaschool.nl/wp-content/uploads/sites/27/2017/09/Infogids-groep-8-2017-2018.pdf","http://www.jacintaschool.nl/ouders/informatieboekjes/"
