"page_title","text","url","page_url"
"Christiaan Huygens Dronten -Schoolgids","
","http://www.christiaanhuygensdronten.nl/../../index.php?pagina=extensies&frame=doc_solo&dl_id=81&dlt=3&file=schoolgids%202014-2015%20CH%20katern%20%28%202%29.pdf","http://www.christiaanhuygensdronten.nl/index.php?id=18&sectie=2&pagina=content&frame=zijindex&afd="
"Christiaan Huygens Dronten -Schoolgids","Download de schoolgids","http://www.christiaanhuygensdronten.nl/../../index.php?pagina=extensies&frame=doc_solo&dl_id=92&dlt=3&file=SCHOOLGIDS%202015-2016%20120815.pdf","http://www.christiaanhuygensdronten.nl/index.php?id=18&sectie=2&pagina=content&frame=zijindex&afd="
