"page_title","text","url","page_url"
"ASKO Scholen | 
                                    
            
            Schoolgids &-plan","Willibrord Schoolgids_2017.pdf","https://www.askoscholen.nl/scholen/willibrord/school/Schoolgidsen-plan/Documents/Willibrord%20Schoolgids_2017.pdf","https://www.askoscholen.nl/scholen/willibrord/school/Schoolgidsen-plan/Paginas/default.aspx"
"ASKO Scholen | 
                                    
            
            Schoolgids &-plan","Schoolplan-2015-2019.pdf","https://www.askoscholen.nl/scholen/willibrord/school/Schoolgidsen-plan/Documents/Schoolplan-2015-2019.pdf","https://www.askoscholen.nl/scholen/willibrord/school/Schoolgidsen-plan/Paginas/default.aspx"
