"page_title","text","url","page_url"
"Basisschool Eikenderveld Heerlen - Schoolgids","Schoolgids 2017 - 201","http://www.eikenderveld.nl/bestanden/453541/Schoolgids-2017-2018-Eikenderveld.pdf","http://www.eikenderveld.nl/pagina/14681/Schoolgids"
"Basisschool Eikenderveld Heerlen - Schoolgids","8","http://www.eikenderveld.nl/bestanden/453541/Schoolgids-2017-2018-Eikenderveld.pdf","http://www.eikenderveld.nl/pagina/14681/Schoolgids"
"Basisschool Eikenderveld Heerlen - Schoolgids","Flyer Schoolgids 2017 - 2018","http://www.eikenderveld.nl/bestanden/455743/flyer-schoolgids-2017-2018.pdf","http://www.eikenderveld.nl/pagina/14681/Schoolgids"
