"page_title","text","url","page_url"
"Schoolgids - BS Kerensheide, Stein","Schoolgids 2017-2018","http://bskerensheide.nl/_userdata/files/schoolgids/Schoolgids_2017-2018_def._10HU.pdf","http://bskerensheide.nl/praktische-info/schoolgids"
"Schoolgids - BS Kerensheide, Stein","Tekstgedeelte kalender 2017-2018","http://bskerensheide.nl/_userdata/files/schoolgids/1718_kalendertekst_A4_2017_2018_5_juli.pdf","http://bskerensheide.nl/praktische-info/schoolgids"
"Schoolgids - BS Kerensheide, Stein","Kalender 2017-2018","http://bskerensheide.nl/_userdata/files/schoolgids/1718_jaarkalender_2017_2018_ouders.pdf","http://bskerensheide.nl/praktische-info/schoolgids"
