"page_title","text","url","page_url"
"Algemeen - OBS De Noordkaap","
								
								 Schoolgids 2017 2018 (PDF)
							","https://www.obsdenoordkaap.nl/informatie/informatie-downloads/downloads/9942-Schoolgids 17 18.pdf","https://www.obsdenoordkaap.nl/informatie/informatie-downloads"
"Algemeen - OBS De Noordkaap","
								
								 Informatiegids 2017 - 2018 (PDF)
							","https://www.obsdenoordkaap.nl/informatie/informatie-downloads/downloads/4858-Informatiegids 17 18.pdf","https://www.obsdenoordkaap.nl/informatie/informatie-downloads"
