"page_title","text","url","page_url"
"Prinsenakker » De Prinsenakker » Schooldocumenten","Schoolgids algemeen gedeelte van Stichting Proominent","https://www.prinsenakker.nl/syndeo_data/media/schoolgids/schoolgids_2017-2018_algemeen_gedeelte_def_na_gmr_09-10-2017.pdf","https://www.prinsenakker.nl/index.php?section=24&page=121"
"Prinsenakker » De Prinsenakker » Schooldocumenten","Schoolgids 2017-2018","https://www.prinsenakker.nl/syndeo_data/media/schoolgids/Schoolgids_2017-2018_definitieve_versie.pdf","https://www.prinsenakker.nl/index.php?section=24&page=121"
"Prinsenakker » De Prinsenakker » Schooldocumenten","Jaarverslag 2016 - 2017 De Prinsenakker","https://www.prinsenakker.nl/syndeo_data/media/schoolgids/Jaarverslag_2016-2017_Prinsenakker_definitief.pdf","https://www.prinsenakker.nl/index.php?section=24&page=121"
