"page_title","text","url","page_url"
"Anne Frankschool Hoogkerk | veilig en vertrouwd.","schoolgids","http://annefrankschool-hoogkerk.nl/wp-content/uploads/2016/08/Schoolgids-2016-2017-def.pdf","www.annefrankschool-hoogkerk.nl"
"Anne Frankschool Hoogkerk | veilig en vertrouwd.","SCHOOLGIDS","http://annefrankschool-hoogkerk.nl/wp-content/uploads/2016/08/Schoolgids-2016-2017-def.pdf","www.annefrankschool-hoogkerk.nl"
"Anne Frankschool Hoogkerk | veilig en vertrouwd.","GROEP 1-2 GIDS","http://annefrankschool-hoogkerk.nl/wp-content/uploads/2016/09/Nieuwsboekje-voor-groep-1-en-2-2016-2017.pdf","www.annefrankschool-hoogkerk.nl"
