"page_title","text","url","page_url"
"Kindcentrum Oda - Schoolgids 2017-2018","","https://www.oda-bs.nl/images/schoolgids-2016-2017-def.pdf","https://www.oda-bs.nl/index.php/schoolinfo/105-schoolgids-2016-2017"
"Kindcentrum Oda - Schoolgids 2017-2018","Schoolgids 2017-2018","https://www.oda-bs.nl/images/Schoolgids_2017-2018_bs_St_Oda_def.pdf","https://www.oda-bs.nl/index.php/schoolinfo/105-schoolgids-2016-2017"
"Kindcentrum Oda - Schoolgids 2017-2018","","https://www.oda-bs.nl/images/Schoolgids_2017-2018_bs_St_Oda_def.pdf","https://www.oda-bs.nl/index.php/schoolinfo/105-schoolgids-2016-2017"
