"page_title","text","url","page_url"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","Hier ","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/Klachtenregeling-Kans-en-Kleur.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","hier","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/Schoolgids/2016%20Schoolondersteuningsprofiel%20Paschalisschool%20.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","hier ","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/documenten/20170119%20protocol%20indeling%20groepen%20def.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","hier","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/Schoolgids/2015-12-17%20Protocol%20veiligheidsplan%20Paschalisschool.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","hier ","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/Schoolgids/SMW%20Wijchen%20%20PO%20.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","richtlijnen","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/documenten/20110916criteriaverlofleerplichtWijchen.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
"Paschalisschool Wijchen: vind hier informatie over onze basisschool.","downloaden","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids/uploads/images/Schoolgids/Verlof%20aanvraag.pdf","http://www.paschalisschool.nl/informatie-paschalisschool-wijchen/schoolgids"
