"page_title","text","url","page_url"
"Schoolgids | KC Sterrenbosch","Schoolgids vast deel","http://www.kcsterrenbosch.nl/digidact_C02/UploadData/images/38/508/0/schoolgids-2015-2019-vast-_1_.pdf","http://www.kcsterrenbosch.nl/Basisschool/Schoolgids---Kleutergids"
"Schoolgids | KC Sterrenbosch","Schoolgids jaardeel","http://www.kcsterrenbosch.nl/digidact_C02/UploadData/images/38/508/0/schoolgids-2017-2018-definitief.pdf","http://www.kcsterrenbosch.nl/Basisschool/Schoolgids---Kleutergids"
"Schoolgids | KC Sterrenbosch","Kleutergids","http://www.kcsterrenbosch.nl/digidact_C02/UploadData/images/38/508/0/Kleutergids-KC-Sterrenbosch-2016-2017.pdf","http://www.kcsterrenbosch.nl/Basisschool/Schoolgids---Kleutergids"
