"page_title","text","url","page_url"
"– Downloads","onderwijsgids-po-2015-2016","http://www.lindekring.nl/wordpress/../uploads/2016/10/onderwijsgids-po-2015-2016.pdf","http://www.lindekring.nl/download2/"
"– Downloads","onderwijsgids-vo-2015-2016","http://www.lindekring.nl/wordpress/../uploads/2016/10/onderwijsgids-vo-2015-2016.pdf","http://www.lindekring.nl/download2/"
"– Downloads","schoolgids2015-2016_zonder_adressen","http://www.lindekring.nl/wordpress/../uploads/2016/10/schoolgids2015-2016_zonder_adressen.pdf","http://www.lindekring.nl/download2/"
