"page_title","text","url","page_url"
"Julianaschool > Nieuwsbrief","","http://www.juliana-ederveen.nl/Portals/181/docs/Schoolgids/Schoolgids%20%20schooljaar%202010-2011.pdf","http://www.juliana-ederveen.nl/Nieuwsbrief"
"Julianaschool > Nieuwsbrief","","http://www.juliana-ederveen.nl/Portals/181/docs/Schoolgids/Schoolgids%20%20schooljaar%202010-2011.pdf","http://www.juliana-ederveen.nl/Nieuwsbrief"
"Julianaschool > Nieuwsbrief","","http://www.juliana-ederveen.nl/Portals/181/docs/Schoolgids/Schoolgids%20%20schooljaar%202010-2011.pdf","http://www.juliana-ederveen.nl/Nieuwsbrief"
