"page_title","text","url","page_url"
"Basisschool de Reuzepas","Bijlage schoolgids 2017-2018","http://www.reuzepas.nl/upload/files/bijlage schoolgids 2017-2018.pdf","http://www.reuzepas.nl/ouder/2/documenten/170/116"
"Basisschool de Reuzepas","","http://www.reuzepas.nl/upload/files/Bijlage schoolgids 2016-2017.pdf","http://www.reuzepas.nl/ouder/2/documenten/170/116"
