"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"00AR00","http://bsdemaasparel.nl/uploads/documents/schoolgids_2017_2018_1.pdf","Limburg",41797,"00AR","""Basisschool """"De Maasparel""""""","Nieuwendijk","22","6107 AW","STEVENSWEERT",1641,"MAASGOUW","Rooms-Katholiek",475551618,"www.bsdemaasparel.nl","Nieuwendijk","22","6107 AW","STEVENSWEERT",77,"Roermond",31,"Roermond",39,"Midden-Limburg",38,"Midden-Limburg",24,"Roermond en omstreken",38,"Gewest Limburg-Noord"
"00BA00",NA,"Gelderland",41530,"00BA","Openbare Basisschool De Klimboom","Schaapsakker","1","6666 EB","HETEREN",1734,"OVERBETUWE","Openbaar",264723252,"www.obsdeklimboom.nl","Schaapsakker","1","6666 EB","HETEREN",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"00BB00","http://www.obsletterwies.nl/Portals/0/School/schoolgids%20Letterwies%202017-2018%20.pdf","Groningen",41613,"00BB","Openbare Basisschool Letterwies","Meidoornstraat","20","9944 AR","NIEUWOLDA",1895,"OLDAMBT","Openbaar",596541265,"www.obsletterwies.nl","Postbus","32","9670 AA","WINSCHOTEN",5,"Winschoten",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"00BW00","http://jpsdevlieger.nl/images/M_images/Schoolgids-plus-voorblad-de-Vlieger-2017-2018.pdf","Limburg",41516,"00BW","Jenaplanschool De Vlieger","Kleine Steeg","8","6131 KJ","SITTARD",1883,"SITTARD-GELEEN","Algemeen bijzonder",464526667,"www.jpsdevlieger.nl","Kleine Steeg","8","6131 KJ","SITTARD",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"00CD00",NA,"Noord-Brabant",41228,"00CD","Basisschool Lockaert","Bessenlaan","50-52","5345 JG","OSS",828,"OSS","Algemeen bijzonder",412691436,"www.bsdelockaert.nl","Postbus","481","5340 AL","OSS",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"00CG00",NA,"Limburg",41516,"00CG","De Harlekijn","Strijthagerweg","10","6372 AC","LANDGRAAF",882,"LANDGRAAF","Openbaar",455325761,"www.obsharlekijn.net","Postbus","31044","6370 AA","LANDGRAAF",79,"Heerlen",33,"Parkstad Limburg",41,"Oostelijk Zuid-Limburg",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"00CS00",NA,"Groningen",41025,"00CS","De Leilinde","Burg. H.J. Wichersstraat","14","9671 JA","WINSCHOTEN",1895,"OLDAMBT","Gereformeerd vrijgemaakt",597422953,"                                                                                ","Burg. H.J. Wichersstraat","14","9671 JA","WINSCHOTEN",5,"Winschoten",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"00CU00","http://zilverlinde.nu/nieuw/wp-content/uploads/2013/09/schoolgids-2013-2014.pdf","Noord-Brabant",41246,"00CU","Basisschool Zilverlinde","Melis Stokelaan","42","4707 HS","ROOSENDAAL",1674,"ROOSENDAAL","Antroposofisch",165560377,"www.zilverlinde.nu","Postbus","306","4700 AH","ROOSENDAAL",65,"Roosendaal en Nispen",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"00CV00","http://schoolmatthijsje.nl/wordpress/wp-content/uploads/2017/09/schoolgids-algemene-deel.pdf","Friesland",20210,"00CV","School Matthijsje","Oosterstreek","23","8388 NA","OOSTERSTREEK",98,"WESTSTELLINGWERF","Algemeen bijzonder",561432690,"www.schoolmatthijsje.nl","Postbus","8","8390 AA","NOORDWOLDE FR",8,"Heerenveen",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"00DA00",NA,"Friesland",30051,"00DA","Christelijke Basisschool Betrouwen","Mjumster Wei","12","9243 SJ","BAKKEVEEN",86,"OPSTERLAND","Protestants-Christelijk",516541463,"www.betrouwen.nl","Mjumster Wei","12","9243 SJ","BAKKEVEEN",7,"Smallingerland",4,"Fryslân",6,"Friesland-Oost",6,"Zuidoost-Friesland",3,"Friesland",6,"Friesland-Oost ('de Friese Wouden')"
"00DD00","http://www.startnest.nl/wp-content/uploads/2012/12/Schoolgids-2017-2018.pdf","Noord-Holland",30090,"00DD","Basisschool Het Startnest Jenaplan School","Arthur van Schendellaan","100-E","1422 LE","UITHOORN",451,"UITHOORN","Rooms-Katholiek",297521590,"www.startnest.nl","Arthur van Schendellaan","100-E","1422 LE","UITHOORN",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"00DM00",NA,"Noord-Brabant",13674,"00DM","De Bolderik","Het Geleer","33","5473 PG","HEESWIJK-DINTHER",1721,"BERNHEZE","Openbaar",413293055,"                                                                                ","Postbus","20","5473 ZG","HEESWIJK-DINTHER",72,"Oss",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",12,"Noord-Noord-Brabant",36,"Noord-Oost-Brabant"
"00DN00","http://www.obsdebundeling.nl/files/SCHOOLGIDS-2015-2019-obs-de-bundeling-website-def.pdf","Limburg",42669,"00DN","De Bundeling","Lindenlaan","75","6241 BB","BUNDE",938,"MEERSSEN","Openbaar",433646991,"www.obsdebundeling.nl","Lindenlaan","75","6241 BB","BUNDE",80,"Maastricht",34,"Maastricht Mergelland",42,"Maastricht en Mergelland",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"00DW00",NA,"Gelderland",61284,"00DW","De Trompetter","Prinses Margrietlaan","8","6986 AT","ANGERLO",299,"ZEVENAAR","Rooms-Katholiek",313473067,"                                                                                ","Prinses Margrietlaan","8","6986 AT","ANGERLO",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"00DX00",NA,"Drenthe",77456,"00DX","Vrije School Assen","Tuinstraat","1","9404 KK","ASSEN",106,"ASSEN","Antroposofisch",592309105,"www.vrijeschoolassen.nl","Tuinstraat","1","9404 KK","ASSEN",11,"Assen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",4,"Assen-Hoogeveen-Emmen",7,"Noord- en Midden Drenthe"
"00DY00","http://www.hetsterrenlicht.nl/Media/view/20054/schoolgids+het+sterrenlicht+2017-2018.pdf","Gelderland",41632,"00DY","Gereformeerde Basisschool het Sterrenlicht","Parkweg","34","8084 GK","'T HARDE",230,"ELBURG","Gereformeerd vrijgemaakt",525651415,"www.hetsterrenlicht.nl","Parkweg","34","8084 GK","'T HARDE",18,"Zwolle",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",5,"Zwolle-Meppel en omstreken",17,"Noordwest-Veluwe"
"00DZ00","http://agnietenschool.nl/wp-content/uploads/sites/11/2017/08/SchoolgidsAS.pdf","Gelderland",40950,"00DZ","Agnieten-School","Hoekwant","45","8081 NB","ELBURG",230,"ELBURG","Rooms-Katholiek",525684400,"www.agnietenschool.nl","Hoekwant","45","8081 NB","ELBURG",18,"Zwolle",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",5,"Zwolle-Meppel en omstreken",17,"Noordwest-Veluwe"
"00EB00","https://www.hettelraam.nl/syndeo_data/media/2017-2018_info-nieuws/schoolgids_2017-2018__versie_1_28-08-2017_.pdf","Noord-Brabant",48348,"00EB","Basisschool Het Telraam","Kerkstraat-zuid","24","5441 AK","OEFFELT",756,"BOXMEER","Rooms-Katholiek",485361622,"www.hettelraam.nl","Kerkstraat-zuid","24","5441 AK","OEFFELT",73,"Boxmeer",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",11,"Oostelijk Maas-Waalgebied",36,"Noord-Oost-Brabant"
"00FE00","http://gbsdehalm.nl/wp-content/uploads/2016/02/schoolgids-GBS-De-Halm-2016-2017.pdf","Noord-Brabant",41646,"00FE","Gereformeerd Basisschool De Halm","Wethouder Raamsstraat","1","4286 BV","ALMKERK",874,"WOUDRICHEM","Gereformeerd vrijgemaakt",183401625,"www.gbsdehalm.nl","Postbus","20","4286 ZG","ALMKERK",52,"Gorinchem",25,"West-Brabant",34,"West-Brabant",34,"Midden-Noord-Brabant",18,"Dordrecht-Gorinchem",34,"West-Brabant"
"00FI00","https://www.pork.nl/upload/197-schoolgids_specifiek_Pork_2017-2018.pdf","Groningen",45000,"00FI","Samenwerking Basisschool Pork","Zanglijster","38","9561 CB","TER APEL",48,"VLAGTWEDDE","Algemeen bijzonder",599582647,"www.pork.nl","Zanglijster","38","9561 CB","TER APEL",6,"Stadskanaal",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"00GR00",NA,"Gelderland",41632,"00GR","Kristal Gereformeerde basisschool","Griftstraat","8","8181 VZ","HEERDE",246,"HEERDE","Gereformeerd vrijgemaakt",578693125,"www.gbskristal.nl","Griftstraat","8","8181 VZ","HEERDE",18,"Zwolle",6,"IJssel en Vecht",10,"IJssel-Vecht",13,"Veluwe",5,"Zwolle-Meppel en omstreken",10,"IJssel-Vecht"
"00GX00","http://www.jacobusschool.nl/wp-content/uploads/2016/08/schoolgids-2016-2017.pdf","Gelderland",28147,"00GX","RK BS Sint Jacobus","Dorpsstraat","5","6675 BB","VALBURG",1734,"OVERBETUWE","Rooms-Katholiek",488431300,"www.jacobusschool.nl","Dorpsstraat","5","6675 BB","VALBURG",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"00GZ00","http://mbsdefontein.nl/wp-content/uploads/2017/11/Schoolgids-MBS-De_Fontein-17-18-web.pdf","Flevoland",41335,"00GZ","Maharishi Basisschool","Maasstraat","29","8226 LP","LELYSTAD",995,"LELYSTAD","Algemeen bijzonder",320250502,"www.mbsdefontein.nl","Postbus","20008","8202 AA","LELYSTAD",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"00HA00",NA,"Gelderland",30128,"00HA","Reformatorisch Basisschool Augustinus","De la Reystraat","38","3851 BH","ERMELO",233,"ERMELO","Reformatorisch",341556179,"                                                                                ","De la Reystraat","38","3851 BH","ERMELO",28,"Harderwijk",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
"01VE00","http://debronbarneveld.nl/wp/wp-content/uploads/2016/01/01-Schoolgids-2016-2017.pdf","Gelderland",40945,"01VE","Gereformeerde Basisschool De Bron","Dr. Kuyperlaan","10","3771 CS","BARNEVELD",203,"BARNEVELD","Gereformeerd vrijgemaakt",342493280,"www.debronbarneveld.nl","Dr. Kuyperlaan","10","3771 CS","BARNEVELD",35,"Amersfoort",10,"De Vallei",16,"Eem en Vallei",13,"Veluwe",10,"Harderwijk-Amersfoort",16,"Eem en Vallei"
"01VG00","http://www.jenaplanschool.nl/vlot/_tVlot/Downloads/schoolgids-20152016-Vlot-definitief.pdf","Groningen",40865,"01VG","Jenaplansch T Vlot","Mars","1-C","9602 KZ","HOOGEZAND",18,"HOOGEZAND-SAPPEMEER","Algemeen bijzonder",598323082,"www.jenaplanschool.nl/vlot","Postbus","41","9750 AA","HAREN GN",3,"Hoogezand-Sappemeer",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"01VG01","http://www.jenaplanschool.nl/pps/_PPS/Schoolgids-2017-2018-PPS_-vastgesteld.pdf","Groningen",40865,"01VG","Peter Petersenschool","Rummerinkhof","6-B","9751 SL","HAREN GN",17,"HAREN","Algemeen bijzonder",505350566,"www.jenaplanschool.nl/pps","Postbus","41","9750 AA","HAREN GN",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"01VQ00","http://www.debeekvliet.nl/content/28258/download/clnt/76988_Schoolgids_De_Beekvliet_2017-2018.pdf","Noord-Holland",40257,"01VQ","Rk Bs Beekvliet","De Weid","20","1991 ET","VELSERBROEK",453,"VELSEN","Rooms-Katholiek",235378273,"www.debeekvliet.nl","De Weid","20","1991 ET","VELSERBROEK",42,"Velsen",20,"Zuidelijk Noord-Holland",25,"West-Kennemerland",20,"IJmond",15,"Zuid-Noord-Holland",25,"West-Kennemerland"
"01WQ00","http://noorderbasis.nl/wp-content/uploads/2017/12/NoorderBasis-Plusklasgids-2017-2018.pdf","Drenthe",42607,"01WQ","Gereformeerd Basisschool De Rank","Floralaan","3","9301 KE","RODEN",1699,"NOORDENVELD","Gereformeerd vrijgemaakt",505017840,"www.noorderbasis.nl","Floralaan","3","9301 KE","RODEN",1,"Groningen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",1,"Groningen en omstreken",7,"Noord- en Midden Drenthe"
"01WU00","http://www.vbs-deregenboog.nl/assets/infogids2017-2018_vbsderegenboog.pdf","Noord-Brabant",30027,"01WU","Vrije School De Regenboog","Mimosaplein","1","5643 CJ","EINDHOVEN",772,"EINDHOVEN","Antroposofisch",402110648,"www.vbs-deregenboog.nl","Mimosaplein","1","5643 CJ","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"02ZW00",NA,"Gelderland",40945,"02ZW","Gereformeerde Basisschool 't Schrijvertje","Gentiaanstraat","594","7322 CL","APELDOORN",200,"APELDOORN","Gereformeerd vrijgemaakt",553601690,"                                                                                ","Gentiaanstraat","594","7322 CL","APELDOORN",27,"Apeldoorn",9,"Stedendriehoek",11,"Stedendriehoek",13,"Veluwe",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"03AG00",NA,"Noord-Holland",26158,"03AG","Protestants Christelijk Basisschool De Hoeksteen","De Weid","24","1991 ET","VELSERBROEK",453,"VELSEN","Protestants-Christelijk",235378198,"www.cbdehoeksteen.nl","De Weid","24","1991 ET","VELSERBROEK",42,"Velsen",20,"Zuidelijk Noord-Holland",25,"West-Kennemerland",20,"IJmond",15,"Zuid-Noord-Holland",25,"West-Kennemerland"
"03AH00","https://www.montessorischoolvenlo.nl/bestanden/373695/stukje-schoolgids.pdf","Limburg",41167,"03AH","Venlose Montessorischool","Craneveldstraat","187","5914 SH","VENLO",983,"VENLO","Algemeen bijzonder",773545927,"www.montessorischoolvenlo.nl","Craneveldstraat","187","5914 SH","VENLO",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03AI00","http://www.vrijeschooldekleineprins.nl/PDF/schoolgids.pdf","Gelderland",77456,"03AI","Vrije School De Kleine Prins","Torontostraat","1","7007 BK","DOETINCHEM",222,"DOETINCHEM","Antroposofisch",314364032,"www.vrijeschooldekleineprins.nl","Postbus","447","7000 AK","DOETINCHEM",25,"Doetinchem",12,"Achterhoek",13,"Oost-Gelderland",14,"Achterhoek",8,"Zuidelijke Achterhoek",13,"Achterhoek"
"03AP00","https://www.obsdebelhamel.nl/bestanden/455295/schoolgids-Belhamel-17-18.pdf","Noord-Brabant",41662,"03AP","Basisschool De Belhamel","Rudolfusdal","60","5551 EG","VALKENSWAARD",858,"VALKENSWAARD","Openbaar",402042588,"www.obsdebelhamel.nl","Rudolfusdal","60","5551 EG","VALKENSWAARD",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03AZ00","http://gbsderank.nl/wp-content/uploads/2016/05/schoolgids-2017.2018.docx-def.pdf","Noord-Holland",41646,"03AZ","Gereformeerd Basisschool De Rank","Beethovensingel","23","1817 HJ","ALKMAAR",361,"ALKMAAR","Gereformeerd vrijgemaakt",725156218,"www.gbsderank.nl","Beethovensingel","23","1817 HJ","ALKMAAR",38,"Alkmaar",19,"Noord-Holland-Noord",24,"Noord-Kennemerland",19,"Alkmaar en omgeving",14,"Noord-Noord-Holland",24,"Noord-Kennemerland"
"03BA00","https://janvanrijckenborghschool.nl/sites/jvr/files/SCHOOLGIDS%202017-2018%20Hilversum_0.pdf","Noord-Holland",30013,"03BA","Jan van Rijckenborghschool","'s-Gravesandelaan","15","1222 SX","HILVERSUM",402,"HILVERSUM","Algemeen bijzonder",356832913,"www.jvrschool.nl","'s-Gravesandelaan","15","1222 SX","HILVERSUM",45,"Hilversum",16,"Gooi en Vechtstreek",20,"Gooi en Vechtstreek",24,"Het Gooi en Vechtstreek",15,"Zuid-Noord-Holland",20,"Gooi en Vechtstreek"
"03BR00","https://www.obsdekring.nl/bestanden/453671/schoolgids-17-18.pdf","Limburg",83280,"03BR","Basisschool De Kring","Hubertusstraat","70","6191 PD","BEEK LB",888,"BEEK","Openbaar",464280275,"www.obsdekring.nl","Hubertusstraat","70","6191 PD","BEEK LB",78,"Sittard",32,"Westelijke Mijnstreek",40,"Westelijke Mijnstreek",39,"Zuid-Limburg",25,"Zuid-Limburg",39,"Gewest Zuid-Limburg"
"03BU00","https://www.margrietschool.info/inc/schoolgids-2016-2017-DEF.pdf","Noord-Holland",41500,"03BU","Basisschool Margriet","Oranje Nassaustraat","19","1165 GL","HALFWEG NH",393,"HAARLEMMERLIEDE CA","Openbaar",204972835,"www.margrietschool.com","Oranje Nassaustraat","19","1165 GL","HALFWEG NH",43,"Haarlem",20,"Zuidelijk Noord-Holland",25,"West-Kennemerland",21,"Agglomeratie Haarlem",15,"Zuid-Noord-Holland",25,"West-Kennemerland"
"03BV00",NA,"Noord-Brabant",41662,"03BV","De Trumakkers","De Spinner","2","5591 NG","HEEZE",1658,"HEEZE-LEENDE","Openbaar",402240033,"                                                                                ","De Spinner","2","5591 NG","HEEZE",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03BY00","http://www.obsdewijzer.nl/wp-content/uploads/2017/01/schoolgids-OBS-de-Wijzer-compleet-augustus-2017-.pdf","Gelderland",41340,"03BY","Openbare Basisschool De Wijzer","Rozenstraat","9","6658 WS","BENEDEN-LEEUWEN",668,"WEST MAAS EN WAAL","Openbaar",487593940,"www.obsdewijzer.nl","Rozenstraat","9","6658 WS","BENEDEN-LEEUWEN",31,"Tiel",13,"Nijmegen",15,"Rivierenland",16,"Zuidwest-Gelderland",11,"Oostelijk Maas-Waalgebied",15,"Rivierenland"
"03CL00","http://www.lubertischool.nl/wp-content/uploads/2016/07/Schoolgids-lubertischool-2016-2017.pdf","Noord-Holland",41841,"03CL","Lubertischool","Brink","29","1796 AH","DE KOOG",448,"TEXEL","Algemeen bijzonder",222317778,"www.lubertischool.nl","Brink","29","1796 AH","DE KOOG",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"03CV00",NA,"Noord-Holland",41438,"03CV","De Zwerm","Dorpsstraat","9-A","1744 KJ","SINT MAARTEN",441,"SCHAGEN","Openbaar",224561101,"www.bsdezwerm.nl","Dorpsstraat","9-A","1744 KJ","SINT MAARTEN",37,"Den Helder",19,"Noord-Holland-Noord",23,"Kop van Noord-Holland",18,"Kop van Noord-Holland",14,"Noord-Noord-Holland",23,"Kop van Noord-Holland"
"03CW00",NA,"Noord-Brabant",41869,"03CW","Openbare Basisschool Apollo","Straatweide","30","4841 ND","PRINSENBEEK",758,"BREDA","Openbaar",765413230,"www.obsapollo.nl","Straatweide","30","4841 ND","PRINSENBEEK",66,"Breda",25,"West-Brabant",34,"West-Brabant",33,"West-Noord-Brabant",20,"West-Noord-Brabant",34,"West-Brabant"
"03DF00","http://www.krommeakkers.nl/bestanden/463753/17-18_Schoolgids_Kromme_Akkers_DEF.pdf","Groningen",13683,"03DF","Openbare Basisschool Kromme Akkers","Hunzeweg","68","9893 PD","GARNWERD",53,"WINSUM","Openbaar",594628000,"www.krommeakkers.nl","Hunzeweg","68","9893 PD","GARNWERD",1,"Groningen",1,"Noord-Groningen",2,"Noord-Groningen en Eemsmond",3,"Overig Groningen",1,"Groningen en omstreken",2,"Noord-Groningen-Eemsmond"
"03DG00","http://www.obsklinkenborg.nl/bestanden/464515/2017-09-08_schoolgids_17-18.pdf","Groningen",13683,"03DG","Openbare School Klinkenborg","Pastorieweg","6","9995 PN","KANTENS",1651,"EEMSMOND","Openbaar",595551788,"www.obsklinkenborg.nl","Pastorieweg","6","9995 PN","KANTENS",1,"Groningen",1,"Noord-Groningen",2,"Noord-Groningen en Eemsmond",3,"Overig Groningen",1,"Groningen en omstreken",2,"Noord-Groningen-Eemsmond"
"03DH00","https://www.omnibus-akkoord-po.nl/bestanden/454471/SCHOOLGIDS_2017-2018.pdf","Limburg",41398,"03DH","Openbare School De Omnibus","Huissen","4","5991 PX","BAARLO LB",1894,"PEEL EN MAAS","Openbaar",774778239,"www.omnibus-akkoord-po.nl","Huissen","4","5991 PX","BAARLO LB",76,"Venlo",29,"Noord-Limburg",38,"Noord-Limburg",37,"Noord-Limburg",23,"Noord-Limburg",38,"Gewest Limburg-Noord"
"03DJ00","http://dejutter.nl/wp-content/uploads/2017/10/Schoolgids-de-jutter-2017-2018.pdf","Friesland",10928,"03DJ","Basisschool De Jutter","Lutinelaan","3","8899 BD","VLIELAND",96,"VLIELAND","Openbaar",562452772,"www.dejutter.nl","Lutinelaan","3","8899 BD","VLIELAND",10,"Leeuwarden",4,"Fryslân",4,"Friesland-Noord",4,"Noord-Friesland",3,"Friesland",4,"Friesland Noord"
"03DK00",NA,"Gelderland",41371,"03DK","Openbare Basisschool","Kerkstraat","17-A","7251 BC","VORDEN",1876,"BRONCKHORST","Openbaar",575551360,"www.dorpsschool.nl","Kerkstraat","17-A","7251 BC","VORDEN",25,"Doetinchem",12,"Achterhoek",13,"Oost-Gelderland",14,"Achterhoek",8,"Zuidelijke Achterhoek",13,"Achterhoek"
"03DW00","https://www.houwingaham.nl/informatie/downloads/3498-schoolgids.pdf","Groningen",41613,"03DW","Openbare Basisschool Houwingaham","Linteloostraat","1","9693 BG","BAD NIEUWESCHANS",1895,"OLDAMBT","Openbaar",597521616,"www.houwingaham.nl","Linteloostraat","1","9693 BG","BAD NIEUWESCHANS",5,"Winschoten",2,"Oost-Groningen",1,"Oost-Groningen",1,"Oost-Groningen",2,"Oost-Groningen",1,"Oost-Groningen"
"03EH00",NA,"Gelderland",41345,"03EH","De Wereldweide","Clematisstraat","10","8091 VK","WEZEP",269,"OLDEBROEK","Openbaar",383761855,"www.dewereldweide.nl","Clematisstraat","10","8091 VK","WEZEP",18,"Zwolle",8,"Noordwest-Veluwe",17,"Noordwest-Veluwe",13,"Veluwe",5,"Zwolle-Meppel en omstreken",17,"Noordwest-Veluwe"
"03EI00","http://www.obsusquert.nl/bestanden/461593/Schoolgids-2017-2018-OBS-Usquert-zonder-adressenlijst-%281%29.pdf","Groningen",13683,"03EI","openbare basisschool Usquert","Burg Geerlingstraat","2","9988 SC","USQUERT",1651,"EEMSMOND","Openbaar",595423690,"www.obsusquert.nl","Burg Geerlingstraat","2","9988 SC","USQUERT",1,"Groningen",1,"Noord-Groningen",2,"Noord-Groningen en Eemsmond",3,"Overig Groningen",1,"Groningen en omstreken",2,"Noord-Groningen-Eemsmond"
"03EJ00","http://www.desmeltkroes.nl/syndeo_data/media/schoolgids/Schoolgids_2017-2018.pdf","Drenthe",41630,"03EJ","De Smeltkroes","Brugstraat","22","7852 TJ","WEZUP",109,"COEVORDEN","Openbaar",591372813,"www.desmeltkroes.nl","Witte Zandpad","1","7854 TW","AALDEN",13,"Coevorden/Dalen",5,"Zuid- en Midden-Drenthe",8,"Zuidoost-Drenthe",8,"Zuidoost-Drenthe",4,"Assen-Hoogeveen-Emmen",8,"Zuid-Oost Drenthe"
"03EV00","http://www.obsde-klimop.nl/bestanden/455781/Schoolgids-2017-2018-De-Klimop.pdf","Noord-Brabant",41662,"03EV","Openbare Basisschool De Klimop","Dooleg","18","5541 GH","REUSEL",1667,"REUSEL-DE MIERDEN","Openbaar",497620008,"www.obsde-klimop.nl","Dooleg","18","5541 GH","REUSEL",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"03FS00",NA,"Noord-Brabant",41443,"03FS","Basisschool Hartenaas","Stoofweg","2","5361 HZ","GRAVE",786,"GRAVE","Openbaar",486473429,"www.hartenaas.nl","Stoofweg","2","5361 HZ","GRAVE",30,"Nijmegen",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",11,"Oostelijk Maas-Waalgebied",36,"Noord-Oost-Brabant"
"03FT00",NA,"Groningen",41846,"03FT","Openbare Basisschool De Borgh","Rijksstraatweg","1","9801 AM","ZUIDHORN",56,"ZUIDHORN","Openbaar",594500486,"www.deborgh.nl","Rijksstraatweg","1","9801 AM","ZUIDHORN",1,"Groningen",3,"Centraal-Groningen",3,"Centraal en westelijk Groningen",3,"Overig Groningen",1,"Groningen en omstreken",3,"Centraal en Westelijk Groningen"
"03GL00",NA,"Noord-Brabant",48348,"03GL","De Wegwijzer","Burgemeester Ficqlaan","4","5361 AX","GRAVE",786,"GRAVE","Protestants-Christelijk",486729000,"www.optimusonderwijs.nl","Burgemeester Ficqlaan","4","5361 AX","GRAVE",30,"Nijmegen",27,"Noordoost-Brabant",36,"Noordoost-Brabant",35,"Noordoost-Noord-Brabant",11,"Oostelijk Maas-Waalgebied",36,"Noord-Oost-Brabant"
