"VESTIGINGSNUMMER","url","PROVINCIE","BEVOEGD.GEZAG.NUMMER","BRIN.NUMMER","VESTIGINGSNAAM","STRAATNAAM","HUISNUMMER.TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","STRAATNAAM.CORRESPONDENTIEADRES","HUISNUMMER.TOEVOEGING.CORRESPONDENTIEADRES","POSTCODE.CORRESPONDENTIEADRES","PLAATSNAAM.CORRESPONDENTIEADRES","NODAAL.GEBIED.CODE","NODAAL.GEBIED.NAAM","RPA.GEBIED.CODE","RPA.GEBIED.NAAM","WGR.GEBIED.CODE","WGR.GEBIED.NAAM","COROPGEBIED.CODE","COROPGEBIED.NAAM","ONDERWIJSGEBIED.CODE","ONDERWIJSGEBIED.NAAM","RMC.REGIO.CODE","RMC.REGIO.NAAM"
"26PD00",NA,"Flevoland",41676,"26PD","Openbare Basisschool Het Palet","Johan Jongkindstraat","26","1318 LW","ALMERE",34,"ALMERE","Openbaar",365353033,"www.basisschoolhetpalet.nl","Johan Jongkindstraat","26","1318 LW","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"26PE00",NA,"Flevoland",41676,"26PE","Openbare Basisschool De Egelantier","Pieter van Damstraat","38","1335 PG","ALMERE",34,"ALMERE","Openbaar",365296818,"                                                                                ","Pieter van Damstraat","38","1335 PG","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"26PF00","http://www.letterland.nl/sites/001.v2-letterland/files/schoolgids_letterland_2017-2018_.pdf","Flevoland",41676,"26PF","OBS Letterland","A. Roland Holststraat","58","1321 RX","ALMERE",34,"ALMERE","Openbaar",365360566,"www.letterland.nl","A. Roland Holststraat","58","1321 RX","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"26PH00","http://archipel.asg-almere.nl/sites/archipel.asg-almere.nl/files/images/schoolgids_2017-2018_definitief.pdf","Flevoland",41676,"26PH","OBS De Archipel","Maldivenweg","45","1339 PP","ALMERE",34,"ALMERE","Openbaar",365214791,"www.archipel.asg-almere.nl","Maldivenweg","45","1339 PP","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"26PK00","http://www.obsjoppe.nl/wp-content/uploads/2017/06/OBS-t-Joppe-Schoolgids.pdf","Noord-Holland",13622,"26PK","Openbare Basisschool 't Joppe","Vossestein","15","2151 KK","NIEUW-VENNEP",394,"HAARLEMMERMEER","Openbaar",252689098,"www.obsjoppe.nl","Vossestein","15","2151 KK","NIEUW-VENNEP",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"26PL00","http://www.bs-startbaan.nl/upload/4/files/2017-2018/schoolgids_startbaan_2017-2018_definitief._docx.pdf","Noord-Brabant",41248,"26PL","de St@rtbaan","Meerbos","16","5658 LA","EINDHOVEN",772,"EINDHOVEN","Openbaar",402340000,"www.bs-startbaan.nl","Meerbos","16","5658 LA","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"26PM00","http://mobilecms.blob.core.windows.net/appfiles/app_697/File/schoolgids_2016-_2017.pdf","Noord-Brabant",40378,"26PM","'t Slingertouw","Grasland","1","5658 GA","EINDHOVEN",772,"EINDHOVEN","Algemeen bijzonder",402340699,"www.basisschoolslingertouw.nl/","Grasland","1","5658 GA","EINDHOVEN",70,"Eindhoven",28,"Zuidoost-Brabant",37,"Zuidoost-Brabant",36,"Zuidoost-Noord-Brabant",22,"Zuidoost-Noord-Brabant",37,"Zuidoost-Brabant"
"26PN00","http://sterrenschip.nl/wp-content/uploads/2014/12/schoolgids-website-2017-2018.pdf","Drenthe",42719,"26PN","Het Sterrenschip","Schoolstraat","31","9408 MB","ASSEN",106,"ASSEN","Openbaar",592820550,"www.sterrenschip.nl","Schoolstraat","31","9408 MB","ASSEN",11,"Assen",3,"Centraal-Groningen",7,"Noord- en Midden-Drenthe",7,"Noord-Drenthe",4,"Assen-Hoogeveen-Emmen",7,"Noord- en Midden Drenthe"
"26PR00",NA,"Gelderland",41566,"26PR","Lea Dasbergschool","Markolle","3","7207 PA","ZUTPHEN",301,"ZUTPHEN","Openbaar",575570308,"www.leadasberg.nl","Markolle","3","7207 PA","ZUTPHEN",23,"Zutphen",9,"Stedendriehoek",11,"Stedendriehoek",14,"Achterhoek",7,"Apeldoorn en midden-IJsselgebied",11,"Stedendriehoek"
"26PU00","https://www.basisschooldeark.nl/syndeo_data/media/2016-2017/De_Ark_schoolgids_2017_LR_v2.pdf","Noord-Holland",40775,"26PU","Protestants Christelijke Basisschool De Ark","Laan van Gildestein","74","2151 HV","NIEUW-VENNEP",394,"HAARLEMMERMEER","Protestants-Christelijk",252687050,"www.basisschooldeark.nl","Laan van Gildestein","74","2151 HV","NIEUW-VENNEP",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"26PV00","https://www.bommelstein.nl/syndeo_data/media/Schoolgids_2017-2018.pdf","Noord-Holland",40775,"26PV","Rooms Katholieke Basisschool Bommelstein","Laan van Gildestein","76","2151 HV","NIEUW-VENNEP",394,"HAARLEMMERMEER","Rooms-Katholiek",252681240,"www.bommelstein.nl","Laan van Gildestein","76","2151 HV","NIEUW-VENNEP",44,"Amsterdam",20,"Zuidelijk Noord-Holland",21,"Agglomeratie Amsterdam",23,"Groot-Amsterdam",15,"Zuid-Noord-Holland",21,"Agglomeratie Amsterdam"
"26PW00",NA,"Flevoland",40950,"26PW","Het Kristal","Makassarweg","68","1335 HZ","ALMERE",34,"ALMERE","Rooms-Katholiek",365352513,"www.het-kristal.nl","Makassarweg","68","1335 HZ","ALMERE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",18,"Flevoland"
"26RA00","https://ebs-derank.nl/modules/downloads/upload_directory/EBS De Rank Schoolgids 2017-2018(0).pdf","Gelderland",40994,"26RA","De Rank","Pythagorasstraat","9","6836 GA","ARNHEM",202,"ARNHEM","Evangelisch",263890247,"www.ebs-derank.nl","Pythagorasstraat","9","6836 GA","ARNHEM",26,"Arnhem",11,"IJssel en Rijn",14,"Arnhem/Nijmegen",15,"Arnhem/Nijmegen",9,"Arnhem en omstreken",14,"Arnhem/Nijmegen"
"26RK00","http://toermalijn.net/wp-content/uploads/2015/12/Toermalijn_schoolgids_2015_2016.pdf","Flevoland",30357,"26RK","RK Basisschool De Toermalijn","Jade","49","3893 EB","ZEEWOLDE",50,"ZEEWOLDE","Rooms-Katholiek",365226020,"www.toermalijn.net","Gedempte Gracht","25","3894 BA","ZEEWOLDE",28,"Harderwijk",15,"Flevoland",18,"Flevoland",40,"Flevoland",10,"Harderwijk-Amersfoort",17,"Noordwest-Veluwe"
