"VESTIGINGSNUMMER","url"
"03ET00","https://obsdetamboerijn.nl/wp-content/uploads/2015/07/160622-Schoolgids-2016-2017.pdf"
"03EV00","http://www.obsde-klimop.nl/bestanden/455781/Schoolgids-2017-2018-De-Klimop.pdf"
"03FS00",NA
"03FT00",NA
"03FU00","http://www.aremberg.nl/home/fileadmin/Arembergschool/pdf_2017_2018/schoolgidskalender1718.pdf"
"03GE00",NA
"03GE02",NA
"03GJ00",NA
"03GL00",NA
"03GP00",NA
"03GR00","https://www.pcbshetmozaiek.nl/bestanden/documenten/712-schoolgids-het-mozaiek-17-18-definitief.pdf"
"03GR01",NA
"03GT00","http://www.foareker.nl/images/Schoolgids_2017-2018_website_definitief.pdf"
"03GW00","http://www.hoefer.nl/doc/schoolgids.2017-2018 (nieuwe versie).pdf"
"03GW01",NA
"03HA00",NA
"03HB00",NA
"03HC00",NA
"03HE00","http://www.deakkerlisse.nl/bestanden/460700/Schoolgids-2017-2018.pdf"
"03HF00","http://www.draaiendewieken.nl/bestanden/454200/1718-Schoolgids-Draaiende-Wieken.pdf"
"03HG00","http://www.bsdebongerd.nl/bestanden/466322/schoolgids-2017-2018-de-Bongerd.pdf"
"03HK00",NA
"03HL00",NA
"03HM00","http://www.deuitleg.nl/Media/view/20400/Schoolgids+De+Uitleg+-+2017-2018.pdf"
"03HO00",NA
"03HP00",NA
"03HQ00","http://www.gbsdelevensboom.nl/wp-content/uploads/2017/11/Schoolgids-de-Levensboom-20172018-website.pdf"
"03HR00",NA
"03HS00",NA
"03HU00","http://www.rehobothsch.nl/docs/Schoolgids.pdf"
"03HY00",NA
"03HZ00",NA
"03IA00",NA
"03IB00",NA
"03IC00","http://https/toonladder.nl/wp-content/uploads/2015/08/schoolgids_2014-2015.pdf"
"03IH00","http://www.kmsbussum.nl/attachments/article/49/KMS Schoolgids ALGEMEEN DEEL 2014-2018.pdf"
"03IK00",NA
"03IV00","https://sintjozef.kerobei.nl/content/SintJozef/docs/Schoolgids_bij_kalender_2017-2018.pdf"
"03IW00",NA
"03IX00","https://www.valkenheuvel.nl/bestanden/460220/Schoolgids-2017-2018-def.pdf"
"03IY00","https://www.kennedy-bs.nl/images/Definitieve_Schoolgids_JFK_2016-2017.pdf"
"03IZ00","http://www.vitusschool.nl/bestanden/457043/Schoolgids-2017-2018.pdf"
"03JB00",NA
"03JC00","http://www.johnfkennedy.nl/wp-content/uploads/sites/6/2014/06/Schoolgids-2017-2018.pdf"
"03JD00",NA
"03JE00",NA
"03JG00",NA
"03JH00",NA
"03JI00",NA
"03JL00","http://mobilecms.blob.core.windows.net/appfiles/app_923/GenericList/schoolgids_17-18_definitief.pdf"
"03JP00","https://bstalente.nl/wp-content/uploads/2016/12/Informatiegids-Borgesiusstichting-2017-2018.pdf"
"03JQ00","https://www.bs-harlekijn.nl/bestanden/463042/2017-2018-Schoolgids-Harlekijn-definitef.pdf"
"03JS00","http://www.vrijeschooldezonnewende.nl/userfiles/file/2016-2017/Schoolgids_De_Zonnewende_2015-2019.pdf"
"03JW00","https://eaborgerschool-meilan.nl/friksbeheer/wp-content/uploads/2015/11/schoolgids-2017-2018-.....pdf"
"03JX00",NA
"03KA00","http://www.prisma-scholen.nl/wp-content/uploads/2010/12/bovenschoolse-info-naar-ouders-20-juni-2013.pdf"
"03KF00","https://www.jozefschool.net/wp-content/uploads/Schoolgids_jozefschool_2015_klein.pdf"
"03KI00","https://www.hetbosschehart.nl/bestanden/468254/schoolgids-2017-2018.pdf"
"03KJ00",NA
"03KM00",NA
"03KP00","http://users.qlictonline.nl/vcpong_koningwillemalexander/docs/Schoolgids%20%20cbs%20KWA%202015-2019.pdf"
"03KR00",NA
"03KS00",NA
"03KT00",NA
"03KV00",NA
"03KW00","https://www.comeniusschool.info/syndeo_data/media/0_Nieuwe_map_Marylse/Schoolgids_2016-2017_.pdf"
